Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
MyOffice,1,2x2,ALL,DtAppLinkPath,,,,,,,,4
Yandex,2,2x2,ALL,DtAppLinkPath,,,,,,,,7
HP Palette,3,2x2,ALL,AppID,AD2F1837.HPPalette_v10z8vjag6ke6!App,,,,,,,
GlamCam,4,2x2,ALL,AppID,AD2F1837.HPGlamCamWidget_v10z8vjag6ke6!App,,,,,,,
Dropbox,5,2x2,ALL,AppID,C27EB4BA.Dropbox_xbfy0k16fey96!App,,,,,,S_Mode,
Dropbox,5,2x2,ALL,AppID,C27EB4BA.DropboxOEM_xbfy0k16fey96!App,,,,,,,
Booking.com,6,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Booking.com.lnk,,,,,,,
Alexa ,7,2x2,ALL,AppID,57540AMZNMobileLLC.AmazonAlexa_22t9g3sebte08!App,,,,,,,
Simple Solitaire,8,2x2,ALL,AppID,26720RandomSaladGamesLLC.3899848563C1F_kx24dqmazqk8j!App,,,,,,,
LastPass Password Manager,9,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\LastPass.lnk,,,,,,,
QuickDrop,10,2x2,ALL,AppID,AD2F1837.HPQuickDrop_v10z8vjag6ke6!App,,,,,,,
myHP,101,Taskbar,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,,,,
HPSA,102,Taskbar,ALL,AppID,AD2F1837.HPSupportAssistant_v10z8vjag6ke6!AD2F1837.HPSupportAssistant,,,,,,,
McAfee,103,Taskbar,ALL,AppID,5A894077.McAfeeSecurity_wafk5atnkzcwy!App,,,,,,S_Mode,
McAfee,103,Taskbar,ALL,DtAppLinkPath,C:\Program Files\McAfee\CoreUI\McAfee LiveSafe.lnk,,,,,,,
Amazon.com,1,EdgeFav,ALL,Link,http://www.amazon.com/gp/ubp/oneButton/config/redirectHome?tagbase=hpbk-ubpl&ref=aagateway-edgebook-hp,,,,,,,
Booking.com,2,EdgeFav,ALL,Link,https://js.redirect.hp.com/jumpstation?bd=booking&c=222&locale=*&pf=*&tp=edge&TYPE=3,,,,,,,
ExpressVPN,3,EdgeFav,ALL,Link,http://js.redirect.hp.com/jumpstation?bd=expressvpn&c=*&locale=en_us&pf=*&s=*&tp=edge,,,,,,,
McAfee,4,EdgeFav,ALL,Link,http://www.mcafee.com/consumer/v/browserfav/hp.html,,,,,,,
LastPass,5,EdgeFav,ALL,Link,https://js.redirect.hp.com/jumpstation?bd=lastpass&c=222&locale=*&pf=*&tp=edge&TYPE=3,,,,,,,
